EGID,GDEKT,GGDENR,GSTAT,GKAT,GKLAS,GBAUJ,GBAUM,GBAUP,GABBJ,GANZWHG,GWAERZH1,GENH1,GWAERSCEH1,GWAERDATH1,GEBF,GAREA,ARE_typ,sfhmfh_typ,arch_typ,demand_elec_pGAREA,DF_UID,DF_NUMMER,DATUM_ERSTELLUNG,DATUM_AENDERUNG,FLAECHE,AUSRICHTUNG,NEIGUNG,MSTRAHLUNG,GSTRAHLUNG,STROMERTRAG,STROMERTRAG_SOMMERHALBJAHR,STROMERTRAG_WINTERHALBJAHR,BFS_NUMMER,DF_UID_solkat,xtf_id,BeginningOfOperation,InitialPower,TotalPower,BFS_NUMMER_pv,municipality_id,category,energy,grid,aidfee,taxes,fixcosts,variablecosts,year,nrElcom,nomEw,year_pvtarif,idofs,energy1
1713385,AI,3102,1004,1030,1110,1970,"",8014,"",1,7430,7540,860,2001-11-29,"",356.0,Rural,SFH,SFH-Rural,17.902190556400807,18281888,1,2021-11-19 15:09:01+00:00,2021-11-19 15:09:01+00:00,120.349540515888,135,28,881.0,106028.0,16964.0,13190.0,3774.0,3102,18281888,207094,2021-04-29,34.5,34.5,3102,https://ld.admin.ch/municipality/3102,H4,8.12,8.753333333333334,2.3,2.3,0.0,19.173333333333332,2022,727,St.Gallisch-Appenzellische Kraftwerke AG SAK,22,3102,6.53
1713385,AI,3102,1004,1030,1110,1970,"",8014,"",1,7430,7540,860,2001-11-29,"",356.0,Rural,SFH,SFH-Rural,17.902190556400807,18281888,1,2021-11-19 15:09:01+00:00,2021-11-19 15:09:01+00:00,120.349540515888,135,28,881.0,106028.0,16964.0,13190.0,3774.0,3102,18281888,207094,2021-04-29,34.5,34.5,3102,https://ld.admin.ch/municipality/3102,H4,8.12,8.753333333333334,2.3,2.3,0.0,19.173333333333332,2022,566,Feuerschaugemeinde Appenzell,22,3102,7.0
1713385,AI,3102,1004,1030,1110,1970,"",8014,"",1,7430,7540,860,2001-11-29,"",356.0,Rural,SFH,SFH-Rural,17.902190556400807,18281889,2,2021-11-19 15:09:01+00:00,2021-11-19 15:09:01+00:00,104.158125228045,-45,29,1338.0,139364.0,22298.0,14948.0,7350.0,3102,18281889,207094,2021-04-29,34.5,34.5,3102,https://ld.admin.ch/municipality/3102,H4,8.12,8.753333333333334,2.3,2.3,0.0,19.173333333333332,2022,727,St.Gallisch-Appenzellische Kraftwerke AG SAK,22,3102,6.53
1713385,AI,3102,1004,1030,1110,1970,"",8014,"",1,7430,7540,860,2001-11-29,"",356.0,Rural,SFH,SFH-Rural,17.902190556400807,18281889,2,2021-11-19 15:09:01+00:00,2021-11-19 15:09:01+00:00,104.158125228045,-45,29,1338.0,139364.0,22298.0,14948.0,7350.0,3102,18281889,207094,2021-04-29,34.5,34.5,3102,https://ld.admin.ch/municipality/3102,H4,8.12,8.753333333333334,2.3,2.3,0.0,19.173333333333332,2022,566,Feuerschaugemeinde Appenzell,22,3102,7.0
1713385,AI,3102,1004,1030,1110,1970,"",8014,"",1,7430,7540,860,2001-11-29,"",356.0,Rural,SFH,SFH-Rural,17.902190556400807,18281892,1,2021-11-19 15:09:18+00:00,2021-11-19 15:09:18+00:00,101.297909256596,-45,10,1197.0,121254.0,19401.0,14084.0,5317.0,3102,18281892,207094,2021-04-29,34.5,34.5,3102,https://ld.admin.ch/municipality/3102,H4,8.12,8.753333333333334,2.3,2.3,0.0,19.173333333333332,2022,727,St.Gallisch-Appenzellische Kraftwerke AG SAK,22,3102,6.53
1713385,AI,3102,1004,1030,1110,1970,"",8014,"",1,7430,7540,860,2001-11-29,"",356.0,Rural,SFH,SFH-Rural,17.902190556400807,18281892,1,2021-11-19 15:09:18+00:00,2021-11-19 15:09:18+00:00,101.297909256596,-45,10,1197.0,121254.0,19401.0,14084.0,5317.0,3102,18281892,207094,2021-04-29,34.5,34.5,3102,https://ld.admin.ch/municipality/3102,H4,8.12,8.753333333333334,2.3,2.3,0.0,19.173333333333332,2022,566,Feuerschaugemeinde Appenzell,22,3102,7.0
1713385,AI,3102,1004,1030,1110,1970,"",8014,"",1,7430,7540,860,2001-11-29,"",356.0,Rural,SFH,SFH-Rural,17.902190556400807,18281893,1,2021-11-19 15:09:26+00:00,2021-11-19 15:09:26+00:00,57.1472327573005,45,29,1313.0,75034.0,12005.0,8025.0,3980.0,3102,18281893,207094,2021-04-29,34.5,34.5,3102,https://ld.admin.ch/municipality/3102,H4,8.12,8.753333333333334,2.3,2.3,0.0,19.173333333333332,2022,727,St.Gallisch-Appenzellische Kraftwerke AG SAK,22,3102,6.53
1713385,AI,3102,1004,1030,1110,1970,"",8014,"",1,7430,7540,860,2001-11-29,"",356.0,Rural,SFH,SFH-Rural,17.902190556400807,18281893,1,2021-11-19 15:09:26+00:00,2021-11-19 15:09:26+00:00,57.1472327573005,45,29,1313.0,75034.0,12005.0,8025.0,3980.0,3102,18281893,207094,2021-04-29,34.5,34.5,3102,https://ld.admin.ch/municipality/3102,H4,8.12,8.753333333333334,2.3,2.3,0.0,19.173333333333332,2022,566,Feuerschaugemeinde Appenzell,22,3102,7.0
1713385,AI,3102,1004,1030,1110,1970,"",8014,"",1,7430,7540,860,2001-11-29,"",356.0,Rural,SFH,SFH-Rural,17.902190556400807,18281894,2,2021-11-19 15:09:27+00:00,2021-11-19 15:09:27+00:00,69.3807936173102,-135,28,900.0,62443.0,9991.0,7801.0,2190.0,3102,18281894,207094,2021-04-29,34.5,34.5,3102,https://ld.admin.ch/municipality/3102,H4,8.12,8.753333333333334,2.3,2.3,0.0,19.173333333333332,2022,727,St.Gallisch-Appenzellische Kraftwerke AG SAK,22,3102,6.53
1713385,AI,3102,1004,1030,1110,1970,"",8014,"",1,7430,7540,860,2001-11-29,"",356.0,Rural,SFH,SFH-Rural,17.902190556400807,18281894,2,2021-11-19 15:09:27+00:00,2021-11-19 15:09:27+00:00,69.3807936173102,-135,28,900.0,62443.0,9991.0,7801.0,2190.0,3102,18281894,207094,2021-04-29,34.5,34.5,3102,https://ld.admin.ch/municipality/3102,H4,8.12,8.753333333333334,2.3,2.3,0.0,19.173333333333332,2022,566,Feuerschaugemeinde Appenzell,22,3102,7.0
